stationReference,lat,long
2469_w1TH,51.377564,-0.952526
023009,54.812531,-2.443415
5322TH,51.691657,-0.027263
4037,53.335557,-1.683843
E2814,53.221702,-0.541127
46129,50.539272,-3.702255
3629TH,51.548783,-0.397836
49129,50.558795,-4.637796
50132,50.939901,-3.907581
1961TH,51.753138,-0.982253
730507,54.330708,-2.743458
53132,51.455821,-2.065573
43217,51.048996,-2.41251
E2902,53.226658,-0.368683
48172,50.100002,-5.279794
022015,55.151643,-1.917583
724326,54.125115,-2.589971
L0405,53.351517,-1.484072
5318TH,51.703222,-0.022505
45135,50.883029,-3.489856
L1376,53.71811,-1.638949
0006,51.501216,-0.12385
693515,53.380045,-2.406589
L3901,54.603816,-1.16076
L2323,54.338848,-1.442218
2808TH,51.682315,-0.315607
1471TH,51.884491,-1.012852
681213,53.277575,-2.455855
L1241,53.70594,-1.91329
0712TH,51.563545,-1.722961
E1672,53.23087,-0.555797
3404TH,51.423993,-0.308538
740102,54.295374,-3.237418
755900,54.868017,-3.394284
E4412,51.133674,0.880127
E2717,52.537116,-0.824895
L1204,53.73128,-1.983282
021021,55.61121,-2.395446
44239,50.715805,-2.5855
023037,55.142852,-2.261953
690232,53.663522,-2.172551
43157,51.242295,-1.662004
47141,50.413192,-4.331177
4065,53.293511,-0.750996
E12791,51.089282,-1.180897
E21341,52.518826,0.252026
700404,53.655307,-2.676594
2012,52.706629,-2.60558
735226,54.338025,-2.970931
2272,51.863183,-2.221361
2606,51.969234,-2.193572
1437TH,52.028582,-1.326852
5427TH,51.709101,0.239586
2003TH,51.523317,-1.141252
L12061,53.732891,-2.045203
4190,53.019889,-1.425573
1099TH,51.716858,-1.374624
53160,51.36697,-2.621881
E22511,52.069056,0.474036
E2694,52.748345,-0.50217
50123,51.213836,-3.841064
L1515,53.923505,-1.933535
L3804,54.462673,-1.19921
53123,51.343988,-2.134327
E1946,52.231962,-0.97793
F1207,53.716861,-2.096931
43208,51.034144,-2.265686
4116,53.226502,-1.008036
2087,52.00171,-2.163093
F1703,53.751469,-1.423682
L3693,54.484792,-1.567976
712052,53.78552,-2.234141
E22103,52.101809,-0.017376
022006,55.113789,-1.620587
46110,50.541046,-3.550843
L2351,54.387346,-1.936039
E21119,52.332181,0.438278
45126,50.682229,-3.470109
49110,50.431183,-4.67963
2844TH,51.744674,-0.49654
E1538,53.293005,0.297051
48126,50.133798,-5.254647
E23060,52.576492,1.516029
L2314,54.347769,-1.3567
F3705,54.60851,-1.549436
750106,54.562827,-3.138777
055817_TG 323,51.915339,-2.587573
L2810,53.991789,-0.916086
E21838,52.453082,0.545246
4204,52.739499,-1.353725
2175,52.735739,-2.994315
2671,51.883138,-2.061691
4381TH,51.403702,0.060218
F2502,54.174308,-0.762132
E4403,53.070452,-0.196967
E10368,51.037463,-0.89988
E651,51.150722,0.174763
45214,50.767191,-3.29459
4093,52.758541,-1.164067
4427,52.921584,-1.283492
2040,52.781029,-2.474812
5016TH,51.930418,0.086394
2634,52.311774,-2.625404
024012,54.842382,-1.487058
L2402,53.89327,-1.097619
023028,55.029637,-2.127318
4165TH,51.377064,-0.160112
47132,50.417855,-3.959444
4056,52.7031,-1.142483
3804TH,51.623491,-0.185411
46148,50.533259,-3.657787
4317TH,51.401378,0.028483
E23705,52.678061,0.547924
4019,52.780647,-1.647106
50151,50.857808,-3.810592
2226,51.747599,-2.214291
E22006,52.612011,1.01713
3102TH,51.406476,-0.349558
067021,53.120007,-2.847029
44220,50.767098,-2.400751
0470TH,51.710647,-1.889951
50114,51.099972,-4.010005
E21778,52.06173,0.194279
E24899,51.648181,0.346098
43236,51.067397,-2.26953
L1506,53.940697,-2.021283
710125,54.006777,-2.221986
48191,50.272818,-4.791471
1980TH,51.740637,-1.115198
E23186,52.819304,1.251666
F2405,53.991515,-1.135153
735430,54.268069,-2.974952
733020,54.140607,-2.731323
45117,50.759747,-3.559651
L1358,53.686013,-1.529962
48117,50.08362,-5.291203
50189,51.111292,-4.161795
E6980,50.851679,0.522713
52120,51.031669,-2.798991
5420TH,51.713888,0.259177
021040,55.550443,-1.784723
735022,54.429259,-2.970683
2662,51.840929,-2.202237
E2105,52.584341,-0.404444
E4060,51.258144,1.145929
E642,51.250834,0.447181
E24319,52.415589,0.734272
5480TH,51.576239,0.040575
0701TH,51.68931,-1.678796
E24815,52.230723,1.344041
2625,52.36409,-2.706474
024003,54.745941,-2.026369
710301,53.872754,-2.414398
47123,50.60014,-4.3068
3085TH,51.302063,-0.543308
0913TH,51.72466,-1.54887
E1742,53.546656,-0.159656
E23956,52.206315,0.520869
F1003,53.638515,-1.7867
3207TH,51.11607,-0.222649
692726,53.438308,-2.344072
E71939,50.714331,-1.874873
E71924,50.71433,-1.87486
4172,52.397668,-1.853805
F2470,53.981457,-1.067671
1486TH,51.874246,-1.18499
52158,51.05693,-2.949032
3350TH,51.355767,-0.255182
055031_TG 329,52.069153,-2.743532
2936TH,51.389272,-0.506291
E1594,53.202079,-0.553771
L2208,54.311836,-2.102939
2966TH,51.349005,-0.602519
F3501,54.517925,-1.601411
2204TH,51.450901,-1.859793
L1386,53.70985,-1.690136
48145,50.292259,-4.781629
4045TH,51.374843,-0.208335
2264TH,51.422436,-1.350461
4890TH,51.801234,-0.079759
48108,50.266031,-4.918599
E670,51.254622,0.485076
E21226,52.678328,1.487896
52111,51.020017,-3.100618
45233,50.798774,-3.194372
L3503,54.533026,-1.55104
2893TH,51.466242,-0.501779
PCHURCH_TG 342,52.041372,-2.955501
L1808,53.713759,-1.26662
4310TH,51.392901,0.019484
L17012,53.800865,-1.480337
F3316,53.739921,-0.144398
3012TH,51.150372,-0.96697
2653,51.88594,-2.093645
L2519,54.308919,-0.746353
E21449,52.087826,-0.717093
4370TH,51.441442,-0.026869
E24806,51.991569,-0.939719
E1608,53.229862,-0.546842
1800TH,51.647821,-1.254167
2616,52.158602,-2.219449
E5852,50.991816,0.524378
713056,53.833695,-2.453518
5369TH,51.615727,-0.065253
690205,53.5659,-2.293017
E2815,53.080542,-0.614579
L2013,53.863248,-1.192116
E8221,50.975187,0.034071
713019,53.76911,-2.624715
2859TH,51.641989,-0.46125
724735,54.051851,-2.822021
E24064,52.70167,1.571118
2889TH,51.533611,-0.47115
50133,51.076717,-3.866807
3823TH,51.610531,-0.313052
4163,52.986245,-1.163701
53133,51.451028,-2.55481
E22744,51.935709,0.697218
44202,50.683502,-2.108932
694041,53.38377,-2.624305
4126,52.92478,-1.166968
2097,52.10744,-2.07193
43120,51.036427,-1.771751
48173,50.050669,-5.634771
022016,55.232946,-1.893044
46120,50.390648,-3.72194
E2296,52.515233,-0.794532
L2361,54.374943,-1.633138
45136,50.820959,-3.65782
49120,50.501243,-4.500737
L0902,53.660847,-0.99124
0007,51.506753,-0.078706
E14993,50.693632,-1.107996
4710,53.137597,-1.198884
2604TH,51.524146,-0.702103
E4413,53.081293,-0.140778
45224,50.850029,-2.888672
L1205,53.707881,-1.912089
E21713,52.330595,-0.227967
2050,52.316208,-1.431466
712113,53.811466,-2.248409
685505,53.382935,-3.10829
710320,53.870513,-2.388461
2694TH,51.506197,-0.710164
755790,54.817425,-3.167142
E71239,52.934316,1.301623
E71224,52.93436,1.30164
F3803,54.477707,-1.298736
E23752,52.39784,0.093691
023038,54.969163,-2.115677
3230TH,51.173918,-0.18323
47142,50.647179,-4.267416
43158,51.137063,-1.72023
4066,52.484208,-1.731944
2816TH,51.793132,-0.396615
F2104,53.971293,-1.349003
44105,50.711622,-2.762844
3290TH,51.381714,-0.377493
1995TH,51.619653,-1.073786
E1228,52.867461,-0.333163
4770TH,51.837638,-0.221289
3074TH,51.210841,-0.504627
0902TH,51.699764,-1.573094
50124,51.100527,-4.16425
E21788,52.428112,-0.3542
L3211,53.719075,-0.434087
L3805,54.468269,-1.194564
53124,51.348874,-2.340892
E6642,50.981447,0.468833
E2300,52.823395,-0.536693
43209,50.931417,-2.257544
2088,52.395138,-1.173153
055014_TG 306,52.276841,-2.932709
L0930,53.57333,-1.103688
43111,51.107453,-1.878102
3286TH,51.323836,-0.41269
022007,55.166194,-1.727617
4873,52.755673,-0.970755
46111,50.639783,-3.787037
744250,54.507361,-3.525782
0260TH,51.724451,-1.972293
45127,50.616779,-3.424247
49111,50.806416,-4.536465
L1108,53.601624,-1.927299
48127,50.319157,-4.898882
F2540,54.229768,-0.872461
1289TH,51.864215,-1.356609
720101,53.978695,-2.677098
52130,50.873685,-2.566002
4180_w2TH,51.419659,-0.18127
4205,52.765357,-1.214327
5362TH,51.650298,-0.164059
45215,50.796646,-3.183491
2139,51.885938,-2.052672
4094,52.496238,-1.688419
E13271,50.989153,-1.48518
2852TH,51.702625,-0.614039
2635,51.890714,-2.066105
024013,54.619954,-1.792445
724629,54.081344,-2.722026
L2403,53.833727,-1.12853
2882TH,51.529235,-0.488741
722242,54.420034,-2.599286
47133,50.766235,-4.425512
E62201,52.451684,0.163973
2150TH,51.435635,-1.201665
2219TH,51.427238,-1.724504
2180TH,51.468325,-1.08539
50152,51.1339,-4.153117
2227,52.309779,-2.59384
2302TH,51.501042,-0.886307
F2220,54.133486,-1.537861
44221,50.790604,-2.41643
3660TH,51.488753,-0.412558
50115,50.973061,-3.909695
4145,52.522794,-1.29766
E15611,51.194087,0.236331
712415,53.79678,-2.234811
E21050,52.798728,0.490559
E15240,51.304292,0.18632
761605,54.616994,-2.818572
3110TH,51.440376,-0.512035
F2902,54.462097,-0.654478
45118,50.80427,-3.511305
E4803,53.077892,-0.274288
3626TH,51.561936,-0.379325
E23052,52.481995,1.670537
4139TH,51.371312,-0.120688
0630TH,51.799654,-1.885239
52121,50.947873,-2.503101
E10893,50.851113,-0.764553
E21732,52.171412,0.099158
0660TH,51.754535,-1.825522
L17022,53.827584,-1.570463
4650TH,51.830547,-0.347917
760115,54.579834,-2.491428
3838TH,51.587068,-0.307266
E12551,51.087739,-1.189248
43177,51.018287,-2.011504
4085,52.92726,-1.475443
E2862,52.890978,-0.62509
2032,52.049661,-2.200744
2626,52.248746,-1.994455
024004,54.6847,-1.818483
4832TH,51.861312,-0.11775
E1780,53.176218,-0.5711
751690,54.662671,-3.361333
47124,50.658035,-4.241876
L0601,53.425334,-1.36339
4048,53.072731,-1.441438
E21324,52.314257,-0.444982
50180,50.648044,-3.431911
2255,52.08804,-2.446839
E22035,52.364009,0.2603
692727,53.439969,-2.388645
50143,50.977311,-4.178073
L1535,53.959571,-2.022817
5129TH,51.89464,0.186331
E3401,51.273987,1.168823
1984TH,51.663282,-1.075268
53143,51.547559,-2.049871
3401TH,51.429566,-0.318416
52159,51.073454,-2.964814
2497TH,51.55135,-0.808421
5189TH,51.773908,0.073644
48183,50.196411,-5.136703
46130,50.421783,-3.918076
2702TH,51.438166,-0.537257
49130,50.393206,-5.056217
4001,53.362304,-1.703631
751110,54.677997,-3.24495
3245TH,51.239844,-0.166451
690155,53.650068,-2.31342
720120,53.937868,-2.770317
531158,51.580872,-2.094819
E1187,53.144196,-0.140051
2195,51.717437,-2.482837
713205,53.69442,-2.466407
L0504,53.445208,-1.549184
E21227,51.987468,0.752212
52112,51.003358,-2.683234
45234,50.656145,-3.324921
L17013,53.812894,-1.481054
2654,51.889602,-2.062354
3089TH,51.346115,-0.465049
3609TH,51.57755,-0.380271
F1403,53.864265,-1.904159
E24807,52.559314,1.570041
2023,52.100775,-1.910164
2617,51.723887,-2.130978
F2708,54.251128,-0.484316
44115,50.739791,-2.891657
690206,53.645347,-2.092047
2841TH,51.757619,-0.475391
47115,50.640271,-4.330759
4039,52.460104,-1.897221
E1140,51.172608,0.173074
E61101,52.242947,-0.263656
3020TH,51.209424,-0.803594
768010,54.668303,-2.76746
50134,50.779388,-4.127794
4164,53.308371,-0.942655
E1363,52.229163,-0.868182
53134,51.492586,-2.523813
F2202,54.098062,-1.457119
2705,52.5405,-2.801605
694042,53.407175,-2.608928
L2401A,53.786072,-1.066528
2098,51.998663,-2.155508
