dateTime,measure,value
2022-11-24T05:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SD40_137-level-groundwater-i-1_h-m,15.358
2022-11-24T08:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2071-level-stage-i-15_min-mASD,2.075
2022-11-24T10:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/0331TH-wind-stage-i-15_min-mASD,0.115
2022-11-24T10:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2450TH-level-stage-i-15_min-mASD,0.215
2022-11-24T10:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/694670-level-stage-i-15_min-m,-0.627
2022-11-24T10:00:30Z,http://environment.data.gov.uk/flood-monitoring/id/measures/694670-wind-speed-Mean-15_min-m_s,5.530
2022-11-24T11:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2851SO-level-stage-i-15_min-mAOD,34.151
2022-11-24T11:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SU_98_98C_-level-groundwater-i-1_h-mAOD,49.080
2022-11-24T11:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E26141-level-stage-i-15_min-mAOD,29.325
2022-11-24T12:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ45_102-level-groundwater-i-1_h-m,3.198
2022-11-24T12:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ46_094-level-groundwater-i-1_h-m,24.373
2022-11-24T13:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SU47_140-level-groundwater-i-1_h-mAOD,93.181
2022-11-24T13:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ36_117-level-groundwater-i-1_h-m,1.893
2022-11-24T16:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/0701TH-level-downstage-i-15_min-mASD,2.758
2022-11-24T18:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/692424-level-stage-i-15_min-m,0.649
2022-11-24T19:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ44_058-level-groundwater-i-1_h-m,14.152
2022-11-24T19:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E22283-rainfall-tipping_bucket_raingauge-t-15_min-mm,0.000
2022-11-24T20:29:49Z,http://environment.data.gov.uk/flood-monitoring/id/measures/305111-rainfall-tipping_bucket_raingauge-Event-Unspecified-mm,0.2
2022-11-24T23:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4686-level-stage-i-15_min-mASD,0.605
2022-11-25T00:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/L0550-level-stage-i-15_min-m,0.265
